node,degree,total_amount,latest_tx,avgNbrDeg,clustering,pagerank,risk,label
A1767,6,8.03503e+006,31285,3.5,0,1,2,0
A515,3,225038,21360,5.33333,0,0.287441,2,0
A1148,4,5.92485e+006,36307,3,0,1.70524,2,0
A2067,6,2.49512e+006,38833,4.16667,0,0.704979,2,0
A2321,5,216074,28124,3.2,0,0.832436,2,0
A2224,3,7.08891e+006,16430,5.33333,0,1.87823,2,0
A452,4,2.08014e+006,36450,6,0,0.702602,2,0
A2103,3,9.03385e+006,31947,2.33333,0,1.02356,2,0
A1591,2,2.38642e+006,39484,4.5,0,1.21344,2,0
A2338,12,2.76918e+007,38766,4,0,0.970321,4,0
A2070,4,6.74929e+006,35397,5.25,0,1.92861,2,0
A2136,4,9.38434e+006,36306,3.25,0,0.427541,2,0
A1371,6,7.15794e+006,34989,3,0.0666667,2.2115,4,0
A841,3,1.19733e+006,31116,2.66667,0,0.639028,2,0
A2434,2,7.90863e+006,39486,3,0,0.991866,2,0
A1273,7,2.914e+007,22683,3.57143,0,0.571227,4,0
A716,1,865,4159,2,0,1.77113,2,0
A1069,6,130034,39428,2.66667,0,1.8214,2,0
A573,6,221571,35568,5.16667,0,0.84634,2,0
A743,2,609060,36487,3,0,0.350711,2,0
A247,3,270038,30739,2,0,0.434088,2,0
A1454,4,1.38095e+007,33898,5,0,0.478183,2,0
A400,3,73018,32422,3.66667,0,0.225331,2,0
A1402,4,174984,36175,3.5,0,0.794175,2,0
A2207,6,5.24326e+006,39944,5.5,0.0666667,0.265091,2,0
A1775,4,1.25868e+007,27663,6.75,0,1.52125,2,0
A747,3,9.66373e+006,30122,4.33333,0,0.707846,2,0
A1809,4,263652,36421,5.75,0,0.883531,2,0
A1904,5,5.37883e+006,29948,5.2,0,1.37519,2,0
A2162,4,241760,34246,4,0,0.491449,2,0
A388,4,129886,29968,4.25,0,0.662282,2,0
A812,4,1.95652e+006,17786,3.75,0,0.364653,2,0
A290,7,1.01828e+007,39913,3.71429,0,1.42095,2,0
A1675,6,1.6073e+007,33266,5.16667,0,0.819332,2,0
A1682,0,0,0,0,0,1.10567,0,0
A1324,4,202830,30032,3.5,0,2.21171,4,0
A1170,6,199148,31319,3.5,0,1.22209,2,0
A1164,3,6.19629e+006,23605,5,0,1.06166,2,0
A2226,4,119261,28133,2.75,0,1.62054,2,0
A167,5,963422,34495,4.4,0,0.663186,2,0
A1595,1,13640,9085,3,0,0.496022,2,0
A2013,6,4.66998e+006,29331,5.33333,0,0.448897,2,0
A813,5,132084,39871,4,0,1.02176,2,0
A711,2,1.52805e+007,36684,5,0,0.797689,2,0
A964,7,8.50659e+006,38814,5.28571,0,0.934259,2,0
A547,5,4.56454e+006,39621,4,0,0.891715,2,0
A1665,2,4.4459e+006,5602,7.5,0,1.03961,2,0
A87,8,35465,38175,6,0,1.10964,2,0
A588,3,169208,31492,2,0,1,2,0
A1492,1,40069,32101,3,0,1.59123,2,0
A558,8,1.84178e+007,37698,4,0,0.702478,2,0
A1736,5,2.51717e+006,36572,4.8,0,1.11323,2,0
A326,3,288605,19398,4.66667,0.333333,2.93908,4,0
A77,4,8.34649e+006,26752,2.5,0,0.783543,2,0
A2389,5,1.77923e+007,32334,4,0,0.752453,2,0
A188,2,163606,30718,2,0,1.11717,2,0
A2420,4,272221,33567,2.75,0,0.893977,2,0
A551,8,1.8976e+007,33123,3.625,0,0.450852,2,0
A1993,2,1.73842e+007,39310,1.5,0,0.593328,2,0
A2384,4,169317,37653,7.5,0,1.10676,2,0
A120,5,4.53041e+006,23673,3.8,0,0.388953,2,0
A1528,3,163194,40109,2.33333,0,0.636629,2,0
A555,7,1.20096e+007,35107,5.71429,0,1.53899,2,0
A2400,5,6.63183e+006,24781,1.8,0,1,2,0
A297,1,70693,24568,2,0,1,2,0
A2102,2,83066,34399,7,0,0.308517,2,0
A2240,4,2.56309e+006,32604,5.25,0,0.777847,2,0
A479,7,97560,26407,4.28571,0,0.647735,2,0
A337,3,43967,20216,6,0,2.42272,4,0
A907,0,0,0,0,0,0.711218,0,0
A1232,3,275646,27213,4,0,1.02028,2,0
A559,3,4.50823e+006,36753,2.66667,0,0.463761,2,0
A1283,4,171604,34262,3.25,0,0.98063,2,0
A988,4,36470,39047,4.25,0,0.400738,2,0
A564,5,1.42641e+007,35424,2.4,0,0.861931,2,0
A853,4,7.06015e+006,36759,3.5,0,1.40193,2,0
A970,3,71587,13989,7.66667,0,1.02107,2,0
A1074,4,137388,31390,4.5,0,0.475059,2,0
A1797,4,307097,22195,7.25,0,0.272777,2,0
A1259,5,8.66012e+006,29308,4.4,0,1,2,0
A2355,3,51811,32093,6.33333,0,0.590715,2,0
A1265,2,30485,22690,4,0,1.78281,2,0
A1789,4,4.03652e+006,44536,3.5,0.166667,1.01636,2,0
A1136,3,1.21135e+007,36188,3,0,1.18339,2,0
A999,9,2.0319e+007,38435,2.66667,0,1.60999,2,0
A1104,3,5.51606e+006,26009,3.66667,0,1.26694,2,0
A969,4,8.66255e+006,17143,3.75,0,0.547016,2,0
A1913,3,253121,39589,3.66667,0,0.245375,2,0
A1612,2,150945,27381,8.5,0,1.2758,2,0
A2064,5,70112,38664,5.8,0,0.81701,2,0
A279,1,53835,3253,3,0,0.972621,2,0
A1718,5,374911,38353,2.8,0,0.206997,2,0
A886,4,285935,30610,3.75,0,0.669849,2,0
A991,3,56718,39915,4.33333,0,0.57396,2,0
A1067,2,132843,37103,4.5,0,0.520024,2,0
A1500,1,44696,9853,2,0,0.509327,2,0
A967,5,146209,38264,6.4,0,0.508443,2,0
A894,1,43459,13473,13,0,0.509508,3,0
A2164,3,76057,33784,4.66667,0,0.485905,2,0
A1596,4,123174,33870,2,0,1.04435,2,0
A2109,6,4.48556e+006,38524,4,0,0.978945,2,0
A2182,6,301263,39079,5,0,1.40383,2,0
A1439,6,8.98509e+006,36187,3,0,0.259127,2,0
A2119,2,14781,38000,3,0,0.181105,2,0
A1841,4,9.98331e+006,29795,6.25,0,1.06827,2,0
A742,4,1.26269e+007,32771,4.75,0,0.780602,2,0
A1139,12,111988,35002,3.41667,0.0151515,0.552799,2,0
A2343,2,144900,33257,2.5,0,0.938655,2,0
A662,8,3.97285e+006,38411,2,0,0.743291,2,0
A145,2,197423,23522,4,0,0.624984,2,0
A1221,3,2.82981e+006,39264,5.66667,0,1.09761,2,0
A72,13,37013,35897,4.15385,0,1,2,0
A363,17,2.72567e+007,32367,3.64706,0,0.470629,6,1
A2418,10,1.97173e+007,31474,2.9,0,1.90209,2,0
A2163,4,4833,24171,3.5,0,0.552577,2,0
A1493,8,3.44291e+006,39630,3.75,0,0.974983,2,0
A51,1,55541,25657,4,0,1.03156,2,0
A315,6,156722,37593,5.16667,0,1.63313,2,0
A1573,4,136830,32668,4.25,0,0.417352,2,0
A207,6,3.95254e+006,33600,5.5,0,0.820105,2,0
A1090,5,470822,28291,4.2,0,0.618208,2,0
A111,1,95081,39902,3,0,0.584222,2,0
A2178,1,88626,6931,2,0,1,2,0
A180,9,81408,39754,2.88889,0,0.723859,2,0
A1686,4,54855,38799,6,0,0.417087,2,0
A2140,4,4.52591e+006,30171,6.75,0,0.382679,2,0
A1954,2,10991,37791,4,0,1.10399,2,0
A968,5,269475,38978,3.6,0,0.575478,2,0
A1456,1,62502,26417,2,0,0.373892,2,0
A842,2,108481,14368,0,0,1.30967,2,0
A1696,5,2.99216e+006,31052,3.2,0,1.33735,2,0
A828,2,4.63673e+006,20848,3,0,1.60468,2,0
A2331,11,6.47844e+006,32581,3.36364,0.0181818,0.260867,2,0
A402,3,291253,32505,1.66667,0,1.71923,2,0
A1778,1,27604,28393,3,0,0.669536,2,0
A1323,2,9.2373e+006,21183,3.5,0,0.307822,2,0
A85,3,109196,11038,9.66667,0,1.64666,2,0
A2039,3,161902,29712,6.33333,0,1.48633,2,0
A211,4,124333,29982,3.75,0,1.19161,2,0
A574,10,600266,38243,4.5,0,2.0763,4,0
A1185,6,6.12185e+006,35671,4,0,0.807387,4,0
A2380,5,5.67329e+006,33502,4.2,0,0.978596,2,0
A1401,6,295185,36744,5,0,1.00088,2,0
A1016,4,219801,39159,5.75,0,0.530029,2,0
A700,4,1.2252e+007,34955,2.75,0,0.264554,2,0
A884,3,73233,32598,7,0,1.1585,2,0
A334,3,2.4872e+006,38969,4,0,0.490745,2,0
A115,2,3.96003e+006,23438,5.5,0,0.690732,2,0
A2096,6,2.89561e+006,34741,6.66667,0,0.462895,2,0
A2431,0,0,0,0,0,0.329014,2,0
A2341,6,1.46975e+007,31210,6.33333,0,0.728908,2,0
A65,17,3.33275e+007,39832,3,0,0.296342,6,1
A2025,3,5.38156e+006,37555,5.66667,0,1.07727,2,0
A350,5,1.04724e+007,36252,6,0,0.336834,2,0
A202,3,116137,25065,5.66667,0,2.08151,4,0
A1588,4,250118,33373,4.25,0,0.384668,2,0
A108,4,1.70112e+006,49429,3.25,0,1.31866,2,0
A932,3,89510,32562,5.66667,0,1.56849,2,0
A1390,2,141989,28654,3,0,0.237684,2,0
A2295,3,7.16429e+006,29412,3.66667,0,0.706082,2,0
A469,4,191685,36444,4.75,0,1.26141,2,0
A1376,3,1.3587e+007,36685,5.33333,0,0.538901,2,0
A640,2,75989,25969,6,0,1.10843,2,0
A644,6,1.96756e+007,33462,3.66667,0,0.574562,2,0
A2440,5,178218,37530,3.2,0,0.558702,2,0
A2204,5,7.43337e+006,35027,3.2,0,0.950608,2,0
A1995,3,196314,33467,7,0,1.30903,2,0
A2181,4,6.78024e+006,7016,2.25,0,0.333251,2,0
A2438,8,2.07665e+006,38189,4.25,0,0.379686,2,0
A57,4,1.41993e+006,37023,4,0.166667,2.21413,4,0
A119,6,267906,39868,3.66667,0,1.80086,2,0
A1196,7,482518,28632,5,0,0.398769,2,0
A1762,7,9.27198e+006,39494,4.71429,0,0.636585,2,0
A628,7,1.32544e+007,28343,4.42857,0,1.05071,2,0
A854,7,83817,31999,3.14286,0,0.476828,2,0
A1277,6,95808,32779,5.83333,0,0.680731,2,0
A891,1,95704,2796,3,0,0.592624,2,0
A1583,5,9.60081e+006,28098,4.2,0,0.425276,2,0
A252,4,9.92786e+006,30748,3.75,0,1.28523,2,0
A636,5,126254,25720,4.4,0,0.501712,2,0
A1131,6,4.4992e+006,39967,4.16667,0,0.594012,2,0
A505,1,35835,36924,1,0,0.336974,2,0
A760,10,3.01691e+007,36962,4.7,0.0222222,0.72399,2,0
A2466,2,156692,35213,3.5,0,0.296151,2,0
A316,5,3.06897e+006,40068,3.6,0,0.239329,2,0
A358,4,4.44729e+006,13287,5.75,0,0.515082,2,0
A765,3,138115,34048,3.33333,0,1.19578,2,0
A893,3,446671,36570,1.66667,0,0.966559,2,0
A1122,5,2.95428e+007,36355,3.2,0,1.13663,2,0
A650,2,98971,4158,2,0,1.38807,2,0
A79,6,2.44371e+007,40003,3.16667,0,1.01644,4,0
A1365,3,1.37696e+006,30898,1,0,0.629726,2,0
A1694,2,121118,31556,3.5,0,0.747849,2,0
A2024,3,19860,39062,3,0,0.404093,2,0
A293,6,3.27633e+006,32843,2.66667,0,2.34367,4,0
A885,4,174579,37624,3.75,0,1.33361,2,0
A2304,4,351495,29091,3.25,0,1.29427,2,0
A1690,5,191111,35621,1.6,0,1.16669,2,0
A1342,2,6.96277e+006,30749,7.5,0,0.757142,2,0
A426,5,194071,33243,5,0,1.07309,2,0
A2253,4,1.84705e+006,33272,3.75,0,0.482331,2,0
A2057,7,2.05926e+007,30642,5.14286,0,3.4921,8,1
A328,4,6.72907e+006,23107,2.75,0,0.524906,2,0
A1701,4,2.45676e+006,28636,3.75,0,1.12534,2,0
A1194,5,325034,25244,2.2,0,0.620147,2,0
A196,5,237242,34621,3,0,1.12335,2,0
A678,4,210060,26608,2.75,0,2.08121,4,0
A1449,2,37107,33048,5.5,0,0.352874,2,0
A688,16,7.91441e+006,37632,3.75,0,0.547543,4,0
A2326,5,6.44882e+006,18611,4.2,0,0.813814,2,0
A2429,6,2.8275e+006,33242,3.33333,0,1.76451,2,0
A2118,4,379406,28567,3.75,0,0.459116,2,0
A102,3,229987,34023,4.66667,0,0.684191,2,0
A659,3,163314,21854,5.66667,0,0.677976,2,0
A1561,6,117006,30204,4.16667,0,1.73251,2,0
A310,0,0,0,0,0,0.483132,2,0
A381,4,196886,25697,6.25,0,1.30897,2,0
A1325,6,378881,37938,4.83333,0,0.669245,2,0
A1509,11,22531,26958,3.54545,0.0181818,2.63582,4,0
A2324,3,7777,28559,4.66667,0,1.13894,2,0
A2215,6,4.07916e+006,32365,5.5,0,1.6992,2,0
A166,1,8250,25190,3,0,0.861137,2,0
A1669,8,55619,32780,4,0,0.678544,2,0
A649,4,39452,23574,3.75,0,3.07172,4,0
A2402,3,8.96137e+006,32351,3,0,1.1156,2,0
A755,3,1.05943e+007,36427,6,0,0.277776,2,0
A1649,2,120326,19588,5.5,0,0.558497,2,0
A595,1,78174,35186,4,0,0.910563,2,0
A2252,5,288595,39147,3.4,0,1.97295,4,0
A2014,3,1.65269e+006,24062,4.33333,0,0.837645,2,0
A1491,9,3.63832e+006,36718,3.77778,0,0.953187,2,0
A1058,3,221100,24611,3,0,1.10834,2,0
A1794,8,2.2708e+007,39185,3.5,0,1.00485,2,0
A1843,3,60183,27435,3,0,1.94591,2,0
A722,3,161310,30599,2.33333,0,1.81662,2,0
A1525,6,284054,28882,4.66667,0,0.796674,2,0
A97,3,72091,36166,3.33333,0,1.43193,2,0
A2242,5,5.62262e+006,39570,3,0,1.47833,2,0
A1444,4,7.15463e+006,30167,3.5,0,0.517337,2,0
A847,2,190626,23924,3.5,0,0.439083,2,0
A205,3,12822,39329,4.33333,0,0.5656,2,0
A1502,2,138717,29166,4.5,0,0.417762,2,0
A1973,4,252496,35384,2.75,0,1.34054,2,0
A2184,6,8.22187e+006,36446,5.33333,0,0.657419,2,0
A459,5,8.0806e+006,33477,3.6,0,0.407026,2,0
A609,6,7.18274e+006,30401,4,0,0.748246,2,0
A1590,7,1.05332e+007,29341,3.42857,0,0.403116,2,0
A2498,9,1.04676e+007,36104,3.33333,0,1,2,0
A594,5,117776,29377,4.4,0,0.354089,2,0
A1286,8,57692,24297,3,0,1.42577,2,0
A913,4,215176,27818,1.75,0,1.24342,2,0
A914,6,3.5437e+006,30682,2.5,0,1.86425,2,0
A1121,4,155194,40133,3.5,0,1.74336,2,0
A2106,6,2.53286e+007,27430,4,0,0.761478,4,0
A1092,2,31936,33456,4.5,0,0.282274,2,0
A2206,5,5.69679e+006,26600,5.6,0,0.591517,2,0
A254,3,153584,36130,4.66667,0,0.995335,2,0
A341,5,2.29132e+006,36090,2.8,0,1.05329,2,0
A808,5,150940,24889,4,0,0.984738,2,0
A833,5,8.27946e+006,37542,2.4,0,0.594628,2,0
A1889,4,97542,26646,2.5,0,0.556638,2,0
A1027,19,1.47937e+007,36111,4,0,1.52751,6,1
A1837,1,3.37905e+006,4822,2,0,0.908247,2,0
A1466,11,78581,30320,4.63636,0,2.34944,4,0
A149,6,1.83957e+007,34467,3.66667,0,0.932281,4,0
A630,5,187902,33045,4.4,0,1.50902,2,0
A1215,5,212181,39474,3.8,0,0.301046,2,0
A1757,3,12826,23732,3.33333,0,0.757001,2,0
A1536,3,8.56338e+006,25780,1.33333,0,0.42095,2,0
A48,3,7.04402e+006,21608,5.33333,0,0.774355,2,0
A2238,7,340067,35916,5.14286,0,0.839205,2,0
A2083,11,96076,22394,3.72727,0,1.67432,2,0
A2112,4,5.02913e+006,33282,5.25,0,0.873014,2,0
A1961,4,2.45222e+006,38387,3.25,0,0.498585,2,0
A1385,3,232774,22821,6.66667,0,2.1887,4,0
A110,0,0,0,0,0,0.674457,0,0
A1777,5,3.44626e+006,35361,3.8,0,1.15477,2,0
A1555,3,86118,14530,3,0,0.801722,2,0
A2101,3,1.99374e+006,19397,2.33333,0,0.484521,2,0
A1351,6,1.46003e+007,30945,5.83333,0,1.29433,2,0
A244,5,85697,26519,4.6,0,1.02723,2,0
A1539,5,1.07594e+006,49053,7.8,0,1.30803,2,0
A2372,4,1.78988e+006,27623,3.5,0,0.766068,2,0
A221,5,2.35127e+006,39608,7.4,0,1.94864,2,0
A2093,4,1.59467e+006,27449,2.5,0,0.764901,2,0
A2193,3,88207,38981,6,0,1.25377,2,0
A1507,0,0,0,0,0,1.9564,2,0
A1086,2,50074,22056,5,0,0.452526,2,0
A827,2,8.39881e+006,24261,6.5,0,0.849639,2,0
A2306,7,1.71015e+007,33547,3.57143,0,1.10312,2,0
A403,1,33686,22522,8,0,1,2,0
A1851,4,268004,32442,6,0,0.726125,2,0
A1597,6,734567,35157,3.5,0,1.95353,2,0
A726,7,1.10344e+007,36922,4.14286,0,1.19936,2,0
A2452,3,68073,26158,3,0,0.621542,2,0
A1358,12,587338,18456,4.41667,0,0.467869,2,0
A1749,2,39120,38491,4,0,0.49367,2,0
A2317,4,319204,28659,4.5,0,0.520685,2,0
A2161,4,274020,37758,3.25,0,0.691127,2,0
A64,3,93288,29783,3.66667,0,0.584756,2,0
A1932,1,34234,20292,13,0,1.31401,3,0
A3,6,528053,36482,4,0,0.571301,2,0
A349,4,111488,31763,3,0,0.691843,2,0
A2066,4,1.22126e+006,23330,5.75,0,1.59148,2,0
A1276,2,8.90703e+006,33179,4.5,0,2.98704,6,1
A1610,6,302979,31575,3,0,0.44172,2,0
A1770,4,8.03462e+006,25970,2.75,0,0.521866,2,0
A900,3,6.95805e+006,29069,3.33333,0,0.786303,2,0
A714,3,115495,37224,4.33333,0,1.47369,2,0
A1372,5,380072,36611,3.2,0,0.478898,2,0
A511,3,70230,28470,5.33333,0,0.593238,2,0
A439,3,173613,21752,5,0,1.53097,2,0
A1264,5,9.84909e+006,37934,2.2,0,1,2,0
A1190,2,1243,16572,3.5,0,2.10885,4,0
A1897,4,3.60099e+006,33674,2.5,0,0.503262,2,0
A1862,4,2.25854e+006,30425,4.25,0,0.58353,2,0
A921,2,5730,43391,5,0,0.423181,2,0
A646,3,1.01099e+007,31165,7.33333,0,2.02692,4,0
A129,3,2.2466e+006,28912,4.33333,0,1.10112,2,0
A287,8,9.64248e+006,39647,6.125,0,2.02488,4,0
A127,6,261462,36690,3.66667,0,1.09404,2,0
A1751,5,2.0759e+007,31558,3.8,0,0.636059,4,0
A2060,4,1.09944e+007,47029,4.75,0,0.226547,2,0
A1348,2,612747,32306,7.5,0,0.203423,2,0
A1832,2,5.3403e+006,37095,3,0,1.04021,2,0
A1733,1,7507,3476,3,0,0.647588,2,0
A260,2,87263,28521,4.5,0,1.73537,2,0
A2008,6,1.59724e+006,37949,3.33333,0,4.20068,4,0
A2259,5,98921,39672,2.8,0,0.967163,2,0
A1189,7,359053,36277,4.28571,0,0.810229,2,0
A706,3,102115,29405,4,0,0.671803,2,0
A653,4,9.66712e+006,26673,6,0,0.660568,2,0
A1001,5,152718,18707,4.4,0,1.6597,2,0
A1563,2,24026,31183,9,0,2.17049,4,0
A1002,4,244567,24747,7.5,0,1.00056,2,0
A308,5,2.99832e+006,24603,4.4,0,1.68677,2,0
A96,10,107933,38032,4.2,0,0.886725,2,0
A2047,3,5.41827e+006,32846,2,0,1.84289,2,0
A215,5,1.39874e+007,32086,2.6,0,1.15618,2,0
A859,1,76976,23919,5,0,1.08455,2,0
A1009,4,4.18183e+006,40041,6.5,0,1,2,0
A414,4,108830,12258,5.5,0,1.12265,2,0
A1048,5,869931,16889,4.6,0,0.4389,2,0
A1982,6,319049,31820,4.16667,0,1.33163,2,0
A538,5,5.91828e+006,26809,4.4,0,0.637196,2,0
A1222,7,1.67639e+007,22740,4.42857,0,0.773953,2,0
A1020,9,1.62883e+007,35506,3.22222,0,0.643345,4,0
A135,3,2.31924e+006,24693,6.33333,0,0.707117,2,0
A58,6,2.44164e+007,27199,3.66667,0,0.484526,4,0
A1044,4,8.02566e+006,32977,3.75,0,0.687877,2,0
A1138,5,275842,35590,6.2,0,1.8288,2,0
A823,2,91468,22627,3,0,0.208965,2,0
A1949,6,4.02719e+006,25938,3.33333,0,1.14491,2,0
A262,3,4.66338e+006,32142,6,0,0.623098,2,0
A660,4,272086,38931,4.25,0,2.29751,4,0
A481,5,112963,34277,5,0,1.22005,2,0
A197,4,3.99796e+006,40018,3.5,0,0.888079,2,0
A797,8,1.09829e+007,32003,4.875,0,0.69021,2,0
A259,5,1.45791e+006,22858,3,0,1.03016,2,0
A2391,3,144091,32160,2.33333,0,0.790557,2,0
A269,4,6.67167e+006,27759,2.5,0,0.669412,2,0
A2476,7,8.25497e+006,35119,3.57143,0,1.43894,2,0
A2432,4,166332,28577,6.25,0,1.97408,2,0
A351,6,240935,30303,3.5,0,0.860568,2,0
A2111,2,64300,9833,4.5,0,1.06986,2,0
A1346,1,1000,24217,3,0,1.03089,2,0
A1999,4,2.36331e+006,36102,3.25,0.166667,1.08192,2,0
A1589,5,321784,33364,5,0,1.86215,2,0
A213,3,1.85962e+006,28969,5,0,1.1762,2,0
A91,1,1000,37977,13,0,0.840833,3,0
A1432,2,73917,20517,4.5,0,0.982037,2,0
A1419,14,7.65884e+006,39071,3.14286,0,1.61205,2,0
A1605,7,223254,39973,3.71429,0.047619,0.923484,2,0
A49,3,178705,10675,2.66667,0,1.97839,2,0
A1848,4,1.67796e+007,35363,2.25,0,0.546083,2,0
A1483,5,72973,31883,5.4,0,2.7977,4,0
A2152,6,2.07115e+006,38428,4.66667,0,0.723519,2,0
A1926,3,133970,26370,1.66667,0,1.08226,2,0
A455,4,158901,23336,2.75,0,1.61374,2,0
A1708,5,145324,39294,5,0,1,2,0
A1082,5,8.22656e+006,31526,3.4,0,0.237481,2,0
A70,5,443919,18161,4,0,1.69667,2,0
A1266,5,141475,33178,5.4,0,1.54926,2,0
A2176,9,1.37937e+007,41098,4.11111,0,0.331831,2,0
A1873,4,8.25898e+006,39131,3.75,0,0.490103,2,0
A1998,3,4.84165e+006,29353,5.66667,0,0.587574,2,0
A673,4,4.4935e+006,38827,2.75,0,0.416725,2,0
A874,1,43958,2170,3,0,1.47383,2,0
A1881,2,68579,11377,5,0,0.94034,2,0
A1989,1,13432,2720,2,0,0.390332,2,0
A1849,4,248041,25944,5.25,0,0.458448,2,0
A645,4,8.28077e+006,25820,1.75,0,0.63913,2,0
A174,4,7.46402e+006,35199,4,0,0.412815,2,0
A2319,2,78595,34929,4,0,1.52514,2,0
A1839,10,2.818e+007,39790,4.4,0,0.571772,4,0
A1418,3,9.58154e+006,36185,4,0,0.585355,2,0
A2210,6,4.39847e+006,34706,5,0,1,2,0
A138,7,2.02925e+007,36529,3.57143,0,2.29919,8,1
A666,3,7.74812e+006,25866,2.66667,0.333333,0.922515,2,0
A2051,4,219959,25472,2.75,0,2.14978,4,0
A2201,10,99337,31713,4.1,0,2.87716,4,0
A1147,3,356273,37386,3.33333,0,1.01064,2,0
A1241,4,234550,23996,9.25,0,0.630167,2,0
A618,2,53138,39836,2.5,0,1.12164,2,0
A1747,7,1.82101e+006,21592,4,0,1.46556,2,0
A134,4,2.69149e+006,29497,6,0,1.01204,2,0
A2146,1,76255,15310,3,0,0.704807,2,0
A1842,6,7.84364e+006,38269,3.16667,0,3.14545,6,1
A177,2,169747,22143,4.5,0,1.61178,2,0
A233,4,7.59071e+006,36123,2.5,0,0.310282,2,0
A920,8,5292,27505,2.875,0,0.794548,2,0
A572,1,76798,13200,5,0,1.54678,2,0
A1331,4,326495,37717,5,0,1.31425,2,0
A346,1,62154,7388,6,0,0.859202,2,0
A1498,6,2.21241e+006,39212,4,0,1.90871,2,0
A187,6,6.92751e+006,35016,2.5,0,1.71346,2,0
A2274,3,7.0557e+006,31114,3,0,0.660956,2,0
A275,6,1.53371e+007,39309,4.5,0,0.875855,2,0
A1041,2,68065,9620,3.5,0,1.32813,2,0
A2468,4,5.23363e+006,35637,6.25,0,0.635443,2,0
A1118,6,8.38438e+006,37947,3.5,0,1.05318,2,0
A2303,3,3.47767e+006,38812,6.66667,0,0.908401,2,0
A1737,10,2.3964e+007,38461,4.5,0,0.891779,4,0
A980,6,16512,23981,3.16667,0,0.697428,2,0
A1996,6,8.41479e+006,37618,2.66667,0,0.45432,2,0
A2457,6,9.31406e+006,31640,3.83333,0,2.06977,4,0
A2425,4,176757,34965,4.25,0,0.777067,2,0
A544,7,137388,34802,3.28571,0,0.49163,2,0
A438,0,0,0,0,0,2.17862,0,0
A1156,8,4.62548e+006,26419,4.875,0,1.24824,2,0
A203,5,6.23051e+006,34162,4,0,0.472651,2,0
A1130,1,44670,13832,2,0,1.08212,2,0
A1719,6,221529,35593,4.83333,0,1.57404,2,0
A1820,3,79588,34218,5.33333,0,1.73521,2,0
A1177,2,138092,27366,4,0,0.38044,2,0
A34,2,75667,21349,3.5,0,2.39068,4,0
A75,4,212503,37429,6.5,0,1.09965,2,0
A2175,7,2.40113e+007,32533,4.85714,0,1.15048,4,0
A2076,5,7.83492e+006,29000,3.4,0,0.246468,2,0
A1684,3,5.81767e+006,32600,2,0,1.01109,2,0
A382,4,52099,36860,5.25,0,0.898109,2,0
A1784,4,195435,34671,6.25,0,1.10207,2,0
A16,4,7.83334e+006,15577,7.5,0,0.877852,2,0
A88,5,4.09807e+006,36413,2.4,0,2.04903,4,0
A1182,4,7.63172e+006,32778,4.5,0,0.352396,2,0
A1248,6,3.93077e+006,39767,3.83333,0,0.637643,2,0
A2435,2,41185,29625,7.5,0,1.1401,2,0
A1106,1,56383,26682,4,0,0.821627,2,0
A1925,6,86606,25879,6.5,0,1.86746,2,0
A1780,3,2.54436e+006,30725,2.33333,0,0.911253,2,0
A681,5,2.58908e+006,30125,3,0,1.25119,2,0
A232,2,38016,37543,2,0,1.45189,2,0
A1060,4,97715,36703,3.5,0,0.790968,2,0
A1550,1,97173,1774,3,0,1,2,0
A183,2,680894,39021,2,0,0.24976,2,0
A501,5,5.53276e+006,31231,4.4,0,0.697784,2,0
A2356,2,34703,31687,4.5,0,1.23339,2,0
A198,2,231558,10996,5,0,0.427829,2,0
A2089,0,0,0,0,0,0.616711,2,0
A625,1,91464,34114,6,0,0.777849,2,0
A2433,4,4.85893e+006,19752,3,0,0.59626,2,0
A1815,3,7.56187e+006,32305,5.66667,0,1.2161,2,0
A2412,5,445078,33908,4.4,0,1.54922,2,0
A2036,3,7.95022e+006,39779,3.66667,0,0.365643,2,0
A2313,3,2.28479e+006,39209,6,0,0.553114,2,0
A2483,1,54762,18781,3,0,1.09503,2,0
A1541,2,3.71703e+006,19826,5.5,0,1.18812,2,0
A1900,3,1.00036e+007,33841,4.66667,0,0.292837,2,0
A1693,4,1.01357e+007,33855,3,0,1.8103,2,0
A378,3,1.45965e+006,19287,3.66667,0,1.19968,2,0
A1146,7,635953,38951,4.85714,0,1.41817,2,0
A225,6,9.98027e+006,35461,3.16667,0,2.54527,6,1
A1705,3,108418,35894,4,0,0.39221,2,0
A1867,6,1.65795e+007,37260,2.66667,0,0.96574,2,0
A1542,5,303639,33110,4.2,0,0.748939,2,0
A734,8,1.65539e+007,27577,3.375,0,0.601638,2,0
A1554,1,1041,26496,4,0,0.760328,2,0
A1870,6,69504,39648,3.83333,0,0.861757,2,0
A1471,4,359906,38603,6.5,0,0.519236,2,0
A2088,3,10236,29826,3,0,1.45799,2,0
A664,7,8.36704e+006,40731,4.14286,0,0.616172,2,0
A1052,1,1785,26326,3,0,1.40845,2,0
A1811,4,159935,15864,7.25,0,1.00492,2,0
A837,5,413610,39659,5.4,0,1.95696,2,0
A2159,3,274396,33800,2.66667,0,0.303213,2,0
A2374,5,302448,30962,3.4,0,0.805365,2,0
A616,4,28725,39322,2.75,0,0.448982,2,0
A2198,7,3.11562e+007,27240,4.14286,0,0.510454,4,0
A1470,4,3.82981e+006,11728,2.5,0,0.405099,2,0
